Date,Column1,Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds)
4/1/2017,Saturday,1,217,204,0.9401,13,12:00:17 AM,12:02:14 AM,12:02:45 AM,0.76
4/2/2017,Sunday,2,200,182,0.91,18,12:00:20 AM,12:02:22 AM,12:06:55 AM,0.73
4/3/2017,Monday,3,216,198,0.9167,18,12:00:18 AM,12:02:38 AM,12:03:50 AM,0.74
4/4/2017,Tuesday,4,155,145,0.9355,10,12:00:15 AM,12:02:29 AM,12:03:12 AM,0.8
4/5/2017,Wednesday,5,37,37,1,0,12:00:03 AM,12:02:06 AM,12:00:35 AM,0.97
4/6/2017,Thursday,6,315,304,0.9651,11,12:00:18 AM,12:01:35 AM,12:02:37 AM,0.77
4/7/2017,Friday,7,252,244,0.9683,8,12:00:13 AM,12:01:50 AM,12:02:02 AM,0.82
4/8/2017,Saturday,8,213,205,0.9624,8,12:00:10 AM,12:02:10 AM,12:03:22 AM,0.88
4/9/2017,Sunday,9,219,200,0.9132,19,12:00:15 AM,12:02:18 AM,12:06:12 AM,0.79
4/10/2017,Monday,10,371,348,0.938,23,12:00:19 AM,12:01:40 AM,12:03:29 AM,0.74
4/11/2017,Tuesday,11,166,164,0.988,2,12:00:12 AM,12:02:10 AM,12:02:46 AM,0.81
4/12/2017,Wednesday,12,32,32,1,0,12:00:02 AM,12:02:03 AM,12:00:03 AM,1
4/13/2017,Thursday,13,231,222,0.961,9,12:00:08 AM,12:01:49 AM,12:02:18 AM,0.86
4/14/2017,Friday,14,205,197,0.961,8,12:00:07 AM,12:01:52 AM,12:02:48 AM,0.93
4/15/2017,Saturday,15,338,313,0.926,25,12:00:13 AM,12:01:51 AM,12:03:40 AM,0.8
4/16/2017,Sunday,16,180,174,0.9667,6,12:00:13 AM,12:02:18 AM,12:03:26 AM,0.84
4/17/2017,Monday,17,226,211,0.9336,15,12:00:20 AM,12:02:04 AM,12:04:53 AM,0.76
4/18/2017,Tuesday,18,226,212,0.9381,14,12:00:10 AM,12:02:03 AM,12:02:45 AM,0.84
4/19/2017,Wednesday,19,45,44,0.9778,1,12:00:02 AM,12:02:04 AM,12:00:55 AM,0.98
4/20/2017,Thursday,20,218,194,0.8899,24,12:00:26 AM,12:02:43 AM,12:06:28 AM,0.69
4/21/2017,Friday,21,187,174,0.9305,13,12:00:15 AM,12:02:16 AM,12:04:39 AM,0.82
4/22/2017,Saturday,22,191,184,0.9634,7,12:00:10 AM,12:02:09 AM,12:03:40 AM,0.86
4/23/2017,Sunday,23,188,174,0.9255,14,12:00:15 AM,12:02:25 AM,12:03:09 AM,0.77
4/24/2017,Monday,24,154,148,0.961,6,12:00:10 AM,12:02:27 AM,12:03:36 AM,0.85
4/25/2017,Tuesday,25,166,150,0.9036,16,12:00:18 AM,12:02:26 AM,12:04:38 AM,0.77
4/26/2017,Wednesday,26,58,57,0.9828,1,12:00:04 AM,12:02:26 AM,12:00:58 AM,0.95
4/27/2017,Thursday,27,160,153,0.9563,7,12:00:10 AM,12:02:23 AM,12:02:45 AM,0.85
4/28/2017,Friday,28,86,79,0.9186,7,12:00:32 AM,12:02:43 AM,12:04:40 AM,0.62
4/29/2017,Saturday,29,180,170,0.9444,10,12:00:23 AM,12:02:31 AM,12:05:45 AM,0.78
4/30/2017,Sunday,30,210,192,0.9143,18,12:00:26 AM,12:02:16 AM,12:05:35 AM,0.67
5/1/2017,Monday,31,163,157,0.9632,6,12:00:14 AM,12:02:19 AM,12:02:55 AM,0.81
5/2/2017,Tuesday,32,143,140,0.979,3,12:00:15 AM,12:02:20 AM,12:04:43 AM,0.83
5/3/2017,Wednesday,33,57,55,0.9649,2,12:00:06 AM,12:02:03 AM,12:01:50 AM,0.91
5/4/2017,Thursday,34,179,172,0.9609,7,12:00:13 AM,12:02:17 AM,12:03:23 AM,0.82
